NAME_1,NAME_2,MU_GLOBAL,SAND_TOP,CLAY_TOP,SILT_TOP
Chhattisgarh,Surguja,3791.0,,,
Chhattisgarh,Uttar Bastar Kanker,3791.0,,,
Dadra and Nagar Haveli,Dadra and Nagar Haveli,3827.0,,,
Daman and Diu,Daman,3864.0,,,
Daman and Diu,Diu,3738.0,,,
Goa,North Goa,3844.0,,,
Goa,South Goa,3656.0,,,
Gujarat,Ahmadabad,3676.0,,,
Gujarat,Amreli,3858.0,,,
Gujarat,Anand,3744.0,,,
Gujarat,Aravalli,3858.0,,,
Gujarat,Banas Kantha,6673.0,,,
Gujarat,Bharuch,3864.0,,,
Gujarat,Bhavnagar,3858.0,,,
Gujarat,Botad,3858.0,,,
Gujarat,Chhota Udaipur,3858.0,,,
Gujarat,Dahod,3858.0,,,
Gujarat,Devbhumi Dwarka,3674.0,,,
Gujarat,Gandhinagar,3676.0,,,
Gujarat,Gir Somnath,3738.0,,,
Gujarat,Jamnagar,3858.0,,,
Gujarat,Junagadh,3738.0,,,
Gujarat,Kachchh,3886.0,,,
Gujarat,Kheda,3676.0,,,
Gujarat,Mahesana,3674.0,,,
Gujarat,Mahisagar,3858.0,,,
Gujarat,Morbi,3674.0,,,
Gujarat,Narmada,3696.0,,,
Gujarat,Navsari,3864.0,,,
Gujarat,Panch Mahals,3858.0,,,
Gujarat,Patan,3674.0,,,
Gujarat,Porbandar,3858.0,,,
Gujarat,Rajkot,3858.0,,,
Gujarat,Sabar Kantha,3774.0,,,
Gujarat,Surat,3864.0,,,
Gujarat,Surendranagar,3858.0,,,
Gujarat,Tapi,3864.0,,,
Gujarat,The Dangs,3827.0,,,
Gujarat,Vadodara,3676.0,,,
Gujarat,Valsad,3827.0,,,
Haryana,Ambala,3739.0,,,
Haryana,Bhiwani,3541.0,,,
Haryana,Faridabad,3810.0,,,
Haryana,Fatehabad,3878.0,,,
Haryana,Gurgaon,3878.0,,,
Haryana,Hisar,3878.0,,,
Haryana,Jhajjar,3878.0,,,
Haryana,Jind,3874.0,,,
Haryana,Kaithal,3874.0,,,
Haryana,Karnal,3874.0,,,
Haryana,Kurukshetra,3810.0,,,
Haryana,Mahendragarh,3541.0,,,
Haryana,Mewat,3797.0,,,
Haryana,Palwal,3810.0,,,
Haryana,Panchkula,3854.0,,,
Haryana,Panipat,3874.0,,,
Haryana,Rewari,3878.0,,,
Haryana,Rohtak,3878.0,,,
Haryana,Sirsa,3878.0,,,
Haryana,Sonipat,3874.0,,,
Haryana,Yamunanagar,3739.0,,,
Himachal Pradesh,Bilaspur,3853.0,,,
Himachal Pradesh,Chamba,3712.0,,,
Himachal Pradesh,Hamirpur,3853.0,,,
Himachal Pradesh,Kangra,3853.0,,,
Himachal Pradesh,Kinnaur,3717.0,,,
Himachal Pradesh,Kullu,3679.0,,,
Himachal Pradesh,Lahul & Spiti,3679.0,,,
Himachal Pradesh,Mandi,3661.0,,,
Himachal Pradesh,Shimla,3661.0,,,
Himachal Pradesh,Sirmaur,3661.0,,,
Himachal Pradesh,Solan,3671.0,,,
Himachal Pradesh,Una,3799.0,,,
Jammu and Kashmir,Anantnag,3712.0,,,
Jammu and Kashmir,Badgam,3680.0,,,
Jammu and Kashmir,Bandipore,3712.0,,,
Jammu and Kashmir,Baramulla,3680.0,,,
Jammu and Kashmir,Doda,3712.0,,,
Jammu and Kashmir,Ganderbal,3712.0,,,
Jammu and Kashmir,Jammu,3799.0,,,
Jammu and Kashmir,Kargil,6998.0,,,
Jammu and Kashmir,Kathua,3799.0,,,
Jammu and Kashmir,Kishtwar,3712.0,,,
Jammu and Kashmir,Kulgam,3712.0,,,
Jammu and Kashmir,Kupwara,3712.0,,,
Jammu and Kashmir,Leh (Ladakh),3713.0,,,
Jammu and Kashmir,Poonch,3672.0,,,
Jammu and Kashmir,Pulwama,3680.0,,,
