NAME_1,NAME_2,MU_GLOBAL,SAND_TOP,CLAY_TOP,SILT_TOP
Bihar,Nawada,3808.0,38.26,24.71,37.03
Bihar,Pashchim Champaran,3759.0,35.40833333333333,26.208333333333332,38.38333333333333
Bihar,Patna,3743.0,36.925,27.325,35.75
Bihar,Purba Champaran,3695.0,33.9875,25.8875,40.125
Bihar,Purnia,3682.0,37.88333333333333,23.2,38.916666666666664
Bihar,Rohtas,3681.0,36.5125,24.7875,38.7
Bihar,Saharsa,3682.0,37.88333333333333,23.2,38.916666666666664
Bihar,Samastipur,3695.0,33.9875,25.8875,40.125
Bihar,Saran,3695.0,33.9875,25.8875,40.125
Bihar,Sheikhpura,3808.0,38.26,24.71,37.03
Bihar,Sheohar,3684.0,35.35,25.8,38.85
Bihar,Sitamarhi,3684.0,35.35,25.8,38.85
Bihar,Siwan,3695.0,33.9875,25.8875,40.125
Bihar,Supaul,3682.0,37.88333333333333,23.2,38.916666666666664
Bihar,Vaishali,3695.0,33.9875,25.8875,40.125
Chandigarh,Chandigarh,3739.0,39.233333333333334,22.916666666666668,37.85
Chhattisgarh,Balod,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Baloda Bazar,3794.0,28.46,28.71,21.05
Chhattisgarh,Balrampur,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Bastar,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Bemetara,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Bijapur,3769.0,46.15,29.25,24.6
Chhattisgarh,Bilaspur,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Dantewada,3769.0,46.15,29.25,24.6
Chhattisgarh,Dhamtari,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Durg,3794.0,28.46,28.71,21.05
Chhattisgarh,Gariaband,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Janjgir-Champa,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Jashpur,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Kabeerdham,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Kondagaon,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Korba,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Koriya,3735.0,-1.2,-4.3,-3.4
Chhattisgarh,Mahasamund,3770.0,46.15,29.25,24.6
Chhattisgarh,Mungeli,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Narayanpur,3714.0,30.366666666666667,18.066666666666666,15.266666666666667
Chhattisgarh,Raigarh,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Raipur,3794.0,28.46,28.71,21.05
Chhattisgarh,Rajnandgaon,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Sukma,3769.0,46.15,29.25,24.6
Chhattisgarh,Surajpur,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Surguja,3791.0,35.233333333333334,34.11666666666667,30.65
Chhattisgarh,Uttar Bastar Kanker,3791.0,35.233333333333334,34.11666666666667,30.65
Dadra and Nagar Haveli,Dadra and Nagar Haveli,3827.0,40.18333333333333,39.35,20.466666666666665
Daman and Diu,Daman,3864.0,26.275,46.925,26.8
Daman and Diu,Diu,3738.0,46.3625,20.1875,33.45
Goa,North Goa,3844.0,52.38333333333333,21.833333333333332,25.783333333333335
Goa,South Goa,3656.0,25.95,23.85,13.9
Gujarat,Ahmadabad,3676.0,49.325,20.3875,30.2875
Gujarat,Amreli,3858.0,21.525,49.55,28.925
Gujarat,Anand,3744.0,43.64,27.42,28.94
Gujarat,Aravalli,3858.0,21.525,49.55,28.925
Gujarat,Banas Kantha,6673.0,50.2,18.175,31.625
Gujarat,Bharuch,3864.0,26.275,46.925,26.8
Gujarat,Bhavnagar,3858.0,21.525,49.55,28.925
Gujarat,Botad,3858.0,21.525,49.55,28.925
Gujarat,Chhota Udaipur,3858.0,21.525,49.55,28.925
Gujarat,Dahod,3858.0,21.525,49.55,28.925
Gujarat,Devbhumi Dwarka,3674.0,41.9375,12.8625,17.975
Gujarat,Gandhinagar,3676.0,49.325,20.3875,30.2875
Gujarat,Gir Somnath,3738.0,46.3625,20.1875,33.45
Gujarat,Jamnagar,3858.0,21.525,49.55,28.925
Gujarat,Junagadh,3738.0,46.3625,20.1875,33.45
Gujarat,Kachchh,3886.0,44.52,22.66,32.82
Gujarat,Kheda,3676.0,49.325,20.3875,30.2875
Gujarat,Mahesana,3674.0,41.9375,12.8625,17.975
Gujarat,Mahisagar,3858.0,21.525,49.55,28.925
Gujarat,Morbi,3674.0,41.9375,12.8625,17.975
